play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Pass,4.79235146097,0.32903427512399996,9,28,1,10,9,Opp 41,Q4,767,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(12:47) (Shotgun) T.Brady pass short right to J.White pushed ob at ATL 32 for 9 yards (R.Alford).,"00-0030528,00-0019596,00-0031062"
Pass,44.8475217073,3.33609133215,0,0,1,10,-32,Own 18,Q1,96,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(1:36) (Shotgun) T.Brady pass short left to J.Edelman to NE 31 for 13 yards (R.Alford).,"00-0030528,00-0019596,00-0027150"
Pass,48.1836130394,6.67697770814,0,0,3,1,-10,Own 40,Q2,900,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(15:00) (Shotgun) T.Brady pass deep right to J.Edelman to ATL 33 for 27 yards (R.Alford).,"00-0030528,00-0019596,00-0027150"
Pass,52.94365659180001,5.26885786354,28,28,2,13,10,Opp 40,OT,757,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(12:37) (Shotgun) T.Brady pass short left to J.Edelman to ATL 25 for 15 yards (R.Alford).,"00-0030528,00-0019596,00-0027150"
Rush,1.4999813202799999,1.25963687832,3,28,3,8,15,Opp 35,Q3,289,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(4:49) (Shotgun) T.Brady scrambles up the middle to ATL 20 for 15 yards (R.Alford).,"00-0030528,00-0019596"
Penalty,6.99112978525,2.27256961031,0,14,3,10,-13,Own 37,Q2,482,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,"(8:02) (Shotgun) T.Brady pass short right to J.White to NE 45 for 8 yards (D.Jones; D.Campbell) [D.Freeney]. PENALTY on ATL-R.Alford, Defensive Holding, 5 yards, enforced at NE 37 - No Play.",00-0030528
Rush,68.7479600862,1.54229693533,0,0,1,10,36,Opp 14,Q2,766,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(12:46) D.Freeman left tackle to NE 5 for 9 yards (D.Harmon).,"00-0030383,00-0031285"
Rush,9.26369939555,-1.49455579433,0,14,1,10,-8,Own 42,Q2,454,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(7:34) L.Blount left tackle to NE 42 for no gain (J.Vellano; J.Babineaux).,"00-0030001,00-0027325,00-0023494"
Punt,42.9397772623,3.04920323557,0,0,4,1,-16,Own 34,Q1,827,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(13:47) R.Allen punts 51 yards to ATL 15, Center-J.Cardona. E.Weems pushed ob at ATL 16 for 1 yard (B.Mingo). PENALTY on ATL-P.Worrilow, Offensive Holding, 7 yards, enforced at ATL 15.","00-0029984,00-0024535,00-0029792,00-0030558"
Punt,42.9397772623,1.6374943716500001,0,0,4,19,1,Opp 49,Q1,314,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(5:14) R.Allen punts 37 yards to ATL 12, Center-J.Cardona, fair catch by E.Weems.","00-0029984,00-0024535"
Punt,4.296575298860001,-0.0101174958848,3,21,4,12,-5,Own 45,Q3,772,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(12:52) R.Allen punts 40 yards to ATL 15, Center-J.Cardona, fair catch by E.Weems. (The Punt Hangtime was 4.19 seconds.)","00-0029984,00-0024535"
Punt,18.0791262527,-1.0141998060000001,0,7,4,2,-26,Own 24,Q2,645,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,"(10:45) R.Allen punts 38 yards to ATL 38, Center-J.Cardona, downed by NE-J.Jones. (The Punt Hangtime was 3.88 seconds.)",00-0029984
Rush,95.713542197,0,21,3,1,10,-31,Own 19,Q3,894,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,(14:54) (Shotgun) D.Freeman left tackle to ATL 16 for -3 yards (D.Hightower).,"00-0029669,00-0031285"
Pass,48.2941729243,-2.5061956395,0,0,2,18,2,Opp 48,Q1,355,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(5:55) (Shotgun) T.Brady pass incomplete deep left to J.White (D.Jones) [C.Upshaw].,"00-0029252,00-0019596,00-0032388,00-0031062"
