Quarter,Time,Down,ToGo,Location,Detail,NWE,ATL,EPB,EPA,Win%
3,5:35,1,10,ATL 37,Tom Brady pass complete short left to Danny Amendola for 2 yards (tackle by Jalen Collins),3,28,3.12,2.84,99.6
3,4:54,2,8,ATL 35,Tom Brady pass incomplete short left intended for Julian Edelman,3,28,2.84,2.15,99.8
3,4:49,3,8,ATL 35,Tom Brady middle for 15 yards (tackle by Robert Alford),3,28,2.15,4.24,99.5
3,4:07,1,10,ATL 20,LeGarrette Blount right guard for 4 yards (tackle by Keanu Neal),3,28,4.24,4.28,99.5
3,3:17,2,6,ATL 16,LeGarrette Blount right tackle for 9 yards (tackle by Robert Alford),3,28,4.28,5.6,99.4
3,2:43,1,7,ATL 7,LeGarrette Blount middle for 2 yards (tackle by Brooks Reed),3,28,5.6,5.15,99.5
3,2:12,2,5,ATL 5,Tom Brady pass complete short left to James White for 5 yards touchdown,9,28,5.15,7,99.4
3,2:06,,,ATL 15,Stephen Gostkowski kicks extra point no good,9,28,0,-1,99.6
3,2:06,,,NWE 35,Stephen Gostkowski kicks onside 11 yards recovered by LaRoy Reynolds. Penalty on Stephen Gostkowski: Illegal Touch Kick 5 yards,9,28,0,-2.85,99.8
3,2:05,1,10,NWE 41,Matt Ryan pass complete short left to Austin Hooper for 9 yards (tackle by Duron Harmon),9,28,2.85,3.52,99.9
3,1:30,2,1,NWE 32,Tevin Coleman left tackle for -1 yards (tackle by Trey Flowers). Penalty on Jake Matthews: Offensive Holding 10 yards (no play),9,28,3.52,2.17,99.8
3,0:59,,,,Timeout #2 by Atlanta Falcons,9,28,0,0,
3,0:59,2,11,NWE 42,Matt Ryan pass incomplete short right intended for Austin Hooper (defended by Patrick Chung),9,28,2.17,1.49,99.8
3,0:52,3,11,NWE 42,--,9,28,1.49,-0.13,99.5
3,0:04,4,20,ATL 49,Penalty on Matthew Bosher: Delay of Game 5 yards (no play),9,28,-0.13,-0.46,99.6
4,15:00,4,25,ATL 44,Matthew Bosher punts 42 yards returned by Patrick Chung for -1 yards (tackle by Justin Hardy),9,28,-0.46,0.32,99.7
4,14:51,1,10,NWE 13,Tom Brady pass complete deep right to Malcolm Mitchell for 15 yards (tackle by Jalen Collins),9,28,-0.32,0.81,99.5
4,14:29,1,10,NWE 28,Tom Brady pass complete short middle to Malcolm Mitchell for 7 yards (tackle by Jalen Collins),9,28,0.81,1.21,99.5
4,14:00,2,3,NWE 35,James White middle for 6 yards (tackle by Keanu Neal),9,28,1.21,1.66,99.5
4,13:21,1,10,NWE 41,Tom Brady pass incomplete deep left intended for Julian Edelman,9,28,1.66,1.12,99.7
4,13:13,2,10,NWE 41,Tom Brady pass complete short right to Malcolm Mitchell for 18 yards (tackle by Robert Alford),9,28,1.12,2.85,99.3
4,12:47,1,10,ATL 41,Tom Brady pass complete short right to James White for 9 yards (tackle by Robert Alford),9,28,2.85,3.52,99.1
4,12:24,2,1,ATL 32,Tom Brady pass incomplete short middle intended for Danny Amendola,9,28,3.52,2.81,99.4
4,12:20,3,1,ATL 32,Tom Brady pass complete deep right to Martellus Bennett for 25 yards (tackle by Keanu Neal),9,28,2.81,5.6,98.2
4,11:48,1,7,ATL 7,Tom Brady sacked by Grady Jarrett for -5 yards,9,28,5.6,3.86,99.2
4,11:07,2,12,ATL 12,Tom Brady pass complete short left to James White for 2 yards (tackle by Jalen Collins and De'Vondre Campbell),9,28,3.86,3.13,99.6
4,10:25,3,10,ATL 10,Tom Brady sacked by Grady Jarrett for -5 yards,9,28,3.13,2.44,99.8
4,9:48,4,15,ATL 15,Stephen Gostkowski 33 yard field goal good,12,28,2.44,3,99.8
4,9:44,,,NWE 35,Stephen Gostkowski kicks off 48 yards returned by Justin Hardy for 10 yards (tackle by Barkevious Mingo),12,28,0,-0.74,99.9
4,9:40,1,10,ATL 27,Tevin Coleman right end for 8 yards (tackle by Patrick Chung),12,28,0.74,1.28,99.9
4,9:00,2,2,ATL 35,Tevin Coleman middle for 1 yard (tackle by Trey Flowers and Logan Ryan),12,28,1.28,0.7,99.9
4,8:31,3,1,ATL 36,Matt Ryan sacked by Dont'a Hightower for -11 yards. Matt Ryan fumbles (forced by Dont'a Hightower) recovered by Alan Branch at ATL-25 (tackle by Chris Chester),12,28,0.7,-3.91,98.9
4,8:24,1,10,ATL 25,Tom Brady sacked by Dwight Freeney for -5 yards,12,28,3.91,2.69,99.5
4,7:41,2,15,ATL 30,Tom Brady pass complete short middle to James White for 4 yards (tackle by Keanu Neal),12,28,2.69,2.54,99.7
4,7:03,3,11,ATL 26,Tom Brady pass complete short left to Malcolm Mitchell for 12 yards (tackle by C.J. Goodwin),12,28,2.54,4.65,99.1
4,6:34,1,10,ATL 14,Tom Brady pass complete short left to Danny Amendola for 8 yards (tackle by Ricardo Allen),12,28,4.65,5.47,98.9
4,6:00,2,2,ATL 6,Tom Brady pass complete short left to Danny Amendola for 6 yards touchdown,18,28,5.47,7,98.8
4,5:56,,,ATL 2,Two Point Attempt: James White middle conversion succeeds,20,28,0,1,96.5
4,5:56,,,NWE 35,Stephen Gostkowski kicks off 62 yards returned by Justin Hardy for 7 yards (tackle by Jonathan Jones),20,28,0,0.38,95.7
4,5:53,1,10,ATL 10,Matt Ryan pass complete short left to Devonta Freeman for 39 yards (tackle by Elandon Roberts),20,28,-0.38,2.19,99.0
4,5:18,1,10,ATL 49,Devonta Freeman right end for 2 yards (tackle by Jabaal Sheard and Patrick Chung),20,28,2.19,1.92,94.5
4,4:47,2,8,NWE 49,Matt Ryan pass complete deep right to Julio Jones for 27 yards,20,28,1.92,4.11,97.5
4,4:40,1,10,NWE 22,Devonta Freeman left end for -1 yards (tackle by Devin McCourty),20,28,4.11,3.43,98.2
4,3:56,2,11,NWE 23,Matt Ryan sacked by Trey Flowers for -12 yards,20,28,3.43,1.16,96.4
4,3:50,,,,Timeout #1 by New England Patriots,20,28,0,0,
4,3:50,3,23,NWE 35,Matt Ryan pass complete short left to Mohamed Sanu for 9 yards (tackle by Logan Ryan). Penalty on Jake Matthews: Offensive Holding 10 yards (no play),20,28,1.16,-0.16,95.8
4,3:44,3,33,NWE 45,Matt Ryan pass incomplete short left intended for Taylor Gabriel,20,28,-0.16,0.27,95.3
4,3:38,4,33,NWE 45,Matthew Bosher punts 36 yards fair catch by Julian Edelman,20,28,0.27,0.38,91.5
4,3:30,1,10,NWE 9,Tom Brady pass incomplete short right intended for James White,20,28,-0.38,-0.78,93.0
4,3:24,2,10,NWE 9,Tom Brady pass incomplete deep right intended for Chris Hogan,20,28,-0.78,-1.42,94.7
4,3:17,3,10,NWE 9,Tom Brady pass complete short right to Chris Hogan for 16 yards (tackle by Jalen Collins),20,28,-1.42,0.61,90.6
4,2:38,1,10,NWE 25,Tom Brady pass incomplete short middle intended for Julian Edelman (defended by Robert Alford),20,28,0.61,0.06,92.3
4,2:34,2,10,NWE 25,Tom Brady pass complete short left to Malcolm Mitchell for 11 yards (tackle by Jalen Collins),20,28,0.06,1.33,89.4
4,2:28,1,10,NWE 36,Tom Brady pass complete deep middle to Julian Edelman for 23 yards (tackle by Keanu Neal),20,28,1.33,2.85,86.3
,,,,,ATL challenged the pass completion ruling and the play was upheld.,,,,,
4,2:03,1,10,ATL 41,Tom Brady pass complete deep right to Danny Amendola for 20 yards (tackle by Brian Poole),20,28,2.85,4.17,81.0
4,1:57,1,10,ATL 21,Tom Brady pass complete short right to James White for 13 yards (tackle by Brian Poole and Ricardo Allen),20,28,4.17,5.37,77.0
4,1:25,1,8,ATL 8,Tom Brady pass complete short right to James White for 7 yards (tackle by Deion Jones),20,28,5.37,5.91,59.6
4,1:00,2,1,ATL 1,James White right guard for 1 yard touchdown,26,28,5.91,7,39.8
4,0:57,,,ATL 2,Two Point Attempt: Tom Brady pass complete to Danny Amendola conversion succeeds. Penalty on Dwight Freeney: Defensive Offside 5 yards,28,28,0,1,43.5
4,0:57,,,NWE 40,Stephen Gostkowski kicks off 60 yards returned by Eric Weems for 11 yards (tackle by Brandon Bolden),28,28,0,0.37,49.5
4,0:52,1,10,ATL 11,Matt Ryan pass complete short left to Mohamed Sanu for 12 yards (tackle by Logan Ryan),28,28,-0.37,0.48,53.7
4,0:32,1,10,ATL 23,Matt Ryan pass complete short right to Austin Hooper for 4 yards (tackle by Malcolm Butler),28,28,0.48,0.47,53.9
4,0:19,2,6,ATL 27,Matt Ryan spiked the ball,28,28,0.47,-0.23,47.3
4,0:18,3,6,ATL 27,Matt Ryan pass incomplete deep left intended for Austin Hooper,28,28,-0.23,-1.57,42.2
4,0:11,4,6,ATL 27,Matthew Bosher punts 38 yards fair catch by Julian Edelman,28,28,-1.57,-1.27,36.9
4,0:03,1,10,NWE 35,Dion Lewis for 13 yards,28,28,1.27,2.13,50.0
OT,15:00,,,ATL 35,Matthew Bosher kicks off 65 yards touchback,28,28,0,-0.61,42.0
OT,15:00,1,10,NWE 25,Tom Brady pass complete short left to James White for 6 yards (tackle by Deion Jones),28,28,0.61,0.87,40.5
OT,14:26,2,4,NWE 31,Tom Brady pass complete short right to Danny Amendola for 14 yards,28,28,0.87,1.93,34.4
OT,13:59,1,10,NWE 45,Tom Brady pass complete short left to Chris Hogan for 18 yards (tackle by Keanu Neal and Deion Jones),28,28,1.93,3.12,27.9
OT,13:12,1,10,ATL 37,Tom Brady pass complete short left to James White for -3 yards (tackle by Deion Jones),28,28,3.12,2.17,32.7
OT,12:37,2,13,ATL 40,Tom Brady pass complete short left to Julian Edelman for 15 yards (tackle by Robert Alford),28,28,2.17,3.91,23.2
OT,11:56,1,10,ATL 25,James White right end for 10 yards (tackle by Robert Alford),28,28,3.91,4.58,19.5
OT,11:18,1,10,ATL 15,Tom Brady pass incomplete short right intended for Martellus Bennett (defended by De'Vondre Campbell). Penalty on De'Vondre Campbell: Defensive Pass Interference 13 yards (no play),28,28,4.58,6.74,10.6
OT,11:13,1,2,ATL 2,Tom Brady pass incomplete short right intended for Martellus Bennett (defended by Vic Beasley),28,28,6.74,5.72,14.1
OT,11:08,2,2,ATL 2,James White right end for 2 yards touchdown,34,28,5.72,6,0.0
